제목	본문
이 거 권 민아 뭔 말임	이해 안됨 지금 내가 졸려서 그런가뭔 말임 이게 갑자기 그쪽 어머니가 왜 나와 
브이앱 서비스 종료	년 서비스 종료 예정 그동안 올렸던 모든 게시물 전부 다 비공개 
환승연애 화 얘기 할 사람	난 개인적으로 보현 호민 미는 사람 이여서 오늘 화 보면서 입틀막 몇번을 한 건지 모르겠다 그리고 새로 오신 이상우님도 되게 좋아보이심 마지막에 주휘 행동 멋있는 행동은 아니였다고 말한 거 너무 사이다였음 
유아 더 스타 화보 쫀예	더스타 월호 오마이걸 유아존존예유시아 왜케 이쁨원래 이뻤지만 이번 화보 진짜 이뻐 유아 인터뷰  처음 타이틀곡   를 들었을 때 대찬성이었다 대중에게 오마이걸이 더욱 다가갈 수 있을 만한 곡이라고 느꼈다라며 어떻게 하면 내가 받은 사랑을 보답할 수 있을지 고민해봤지만 역시 정답은 무대였다 진심으로 즐기며 활동했고 행복했다평소 어떤 생각을 하는지스스로에게 말을 걸고 새로운 상상과 생각을 이어간다 내게는 이런 상상들이 행복의 원동력상상하는 즐거움이 좋고 낭만이 좋다 낭만 안에 산다는 말이 조금 오글거릴 수도 있겠지만 나는 참 좋아한다데뷔 후 지금까지 활동할 수 있던 원동력은우리 멤버들의 힘이 가장 크다 힘든 순간에 나 혼자만 있었다면 너무 무서웠을 것서로가 힘들 때마다 손을 잡아준 멤버들이 있었고 그 덕에 나아갈 수 있었다 우리는 활동할수록 더 겸손해지려 노력한다유아는 한결같다는 말을 듣고 싶대현실의 유시아는 감정 기복도 크고 예민한 사람인데 이제는 너무 휘둘리고 싶지 않다고 가진게 하나 없어도 행복한 사람이 되고 싶다고 함유시아 사랑혀우리 체리공주 맨날맨날 행복만하길 
비혼 한다는 사람들 미래가 안 무서움	어렸을 때부터 조부모님이랑 같이 살다가돌아가시는 거 까지 다 봐서 그런가사람이 나이 먹었는데 가족이 없으면 진짜 비참하겠구나 라는 생각을 했거든할머니가 말년에 요양 병원에서 년 계셨는데가족 자주 찾아오는 환자들은 상태 깨끗하게 잘해 주시고가족 없거나 안찾아 오는 환자들은 딱 봐도 신경을 덜 쓰는게 많이 보였었음그거 보고 나중에 기력없고 병들었는데 가족 없으면 정말 비참하게 죽을 것 같다는생각이 들어서 나중에  나이먹고 부모님도 돌아가셨는데내가 아파서입원해있으면보호자도 없어서 내 병원비도 내가 직접 결제하러 가야하는 거자나대신해줄 사람은 당연히 없을테니까비혼 한다는 애들은 미래가 안무섭냐 나는 내 미래 때문이라도꼭 결혼하고 애기 낳고 싶은데 
개콘 없어진 이후 개그맨들 근황	 
나 오늘 고백 받았다	교회 초등부에서 봉사하는데 나 잘 따르던 친구가 있었는데 요즘 코로나때문에 교회 안가서 한달 정도 못봤거든오늘 어머님 카톡으로 연락와서 꼭 주고싶은게 있는데 잠깐 만나달라고 해서 직접 집앞까지 와서 자기가 아낀다는 메달이랑 쪽지 주고갔음남친한테도 결혼하자는 말은 못들어봤는데살한테 그런말을 들을줄은 너무 귀엽고 감동이야 
아이린보다 이쁜 로 잘린	 
트와 노래 중에 트와 밖에 못하는 거 뭐 있을까	트와이스 
스타벅스에서의 사이코패스	비정상의 정상화 
생각보다 많이 너를 좋아해	내가 관심없어 보이고 그래도 생각보다 너를 많이 보고 좋아해하지만 나는 더이상 다가갈수가 없어 너는 아는지 모르겠지만 요새 상황이 안 좋고 하루종일 밥도 못먹고 잠도 못자 불안함으로 매일 반복되니까 너무 힘들어 이런 상태에서는 아무도 곁에 두고 힘들게 하고 싶지 않아서 그래 내가 대답이 없는 것도 더이상 다가갈 수 없는 것도 요새 나를 둘러싼 말들과 시선때문에 너무 힘들어서 제정신이 아니었어 지금이 다 정리되면 너한테 가도 될까
궁상 맞고 무능력한 처가 때문에 답답해요	어디가서 하소연 하자니 제 얼굴에 침뱉기고 와이프도 덩달아 욕먹을 거 같아서쉽사리 말 하기도 힘들고 대숲에 외치는 심정으로 여기다가 글쓰면서 풀려고여결혼 년차 딩크족 부부입니다와이프는 이뻐요 똑똑하고문제는 처가입니다 장인어른과 장모님이 벌이가 없으세요아마 노령연금 기초연금 정부에서 나오는 것들만 있고나머지는 저희가 월 만원씩 드리는 실정입니다어차피 둘이 버니 월 만원 드리는 걸로는 별 타격은 없는데솔직히 사람이 그렇더라구여 월 씩 년이면 만원인데 솔직히 작은 돈은 아니라고 봐요생신어버이날명절 등등 각 이벤트성 시기에도 한분당 만원씩 별도로 드리고 있습니다위로 오빠가 있는데 거기도 자기 식구들 건사하기도 힘들어서 전혀 도와주지 못하는 상황이고요저희 부모님은 나름 노후 준비를 잘하셨더라구요 요새 이런 얘기하면 욕먹겠지만집도 채고 채는 자가 나머지 채는 월세 및 전세로 하시고여정부 정책에 맞춰 임대사업자 내고 하시고 있습니다 거기에 따른 세금도 내고요저희가 명절이나 생신때 드리는 금액보다 더 많이 일년에 번 주시는 상황이고여평상시에는 저희 둘이서만 지내면 아주 좋습니다문제는 가족 행사가 있어서처가 식구들만 만나면 제 속에서 열불이 난다는거져저희가 생활비를 풍족하게는 못드리니 아주 여유롭게는 사시지 못하니깐연세는 좀 있으셔도 뭔가 추가적인 수입을 위한 활동을 하지 않는 점도 불만이고오빠네 식구들도 적은 벌이로 만족하면서 본인 동생네가 자신의 부모님을 금전적으로약간이나마 봉양하는 거는 애써 모르는 척하는 그런 상황들이 참 저를 답답하게 합니다저희 부모님도 저희가 처가집 매달 도와드리는 거는 어렴풋이 알고 계시는데정확한 금액은 모르십니다그래서 거의 처가 식구들만 만나고 오면 거기서 발생된 스트레스 때문에 와이프와말도 별로 안하게 되더라구요 결코 와이프 탓이 아닌데와이프는 처가집 막내인데 맏이 역할 하는 것 뿐인데어찌보면 불쌍한거져 저 만나기 전부터 집에 생활비를 대고 있었으니까요그냥 제가 다 내려놓고 포기하고 살아야 하는데평상시에는 신경이 안쓰이다가도 만나고 그런 궁상맞은 모습들을 보면울화가 치밀어서 컨트롤이 잘 안되네요뭐라고 말도 못하니깐 스트레스 받아서 와이프랑 그 때되면 말도 안하게 되는 어색한 시간이 생기고답답합니다 답답해 
화이자 맞고 친척분이 돌아가셨어	지난번에 아래에 있는 이어쓰기로 청원 동의 부탁한다고 썼던 쓰니야 저 일이 있고 며칠 뒤에 상태가 괜찮아지셨다는 소식을 듣고 정말 다행이라고 생각했어 그런데 어제 돌아가셨다더라 나 너무 슬퍼 아직 나이도 어리신데 관계는 육촌 정도 되고 한번도 만나 뵌 적 없지만 내 주변에서 이렇게 죽음을 목격한다는 게 그냥 너무 
입막음 오지는 팬덤 적고가자	엑소 방탄 엔시티 블랙핑크 트와이스 레드벨벳 아이브 아이들 에스파 프나 있지 투바투 스테이씨 세븐틴 더보이즈 몬스타엑스 스키즈 비투비 여자친구 오마이걸  
 신인 지니 과거 사진 푼다	나도 윤진 친한 지인인데  윤진이 과사 풀어볼게 윤진이 이쁘게봐줘 초졸사랑 애기때 사진이야 약간 티엠아이인데 초등학교때 윤진이는 춤추기를 좋아했고 중학교때도 수련회에서 끼를 보여주곤 했어 어릴때부터 연습생이였어서 그런지 중학교에서 제왑 연습생으로 유명하기도 했고 선배들도 어떻게 알고 힐끔힐끔 쳐다보고 갔던게 기억나네  
학번이 보는 코로나 사태	학번이 보는 코로나 사태사스때처럼 금방 끝날줄 알았고 톡방에서 초반에 학과 톡방 말고 개인이 만든 톡방대학생들 나대지말고 조용히 지내라는 소리 있어서 그냥 조용히 지냄근데 월말에 코로나가 크게 터졌고중국입국자 안맞은탓이 크다아마 입국 제한 제대로 했으면 월 중순에 퍼졌을듯 그럼 오티 엠티라도 할수 있자나만약에 방역 빡세게 하고 중국입국자 제한 했으면 월초 라도 대학교 낭만 즐길고아는 애들 있어서 그나마 괜찮게 학교 다니지 않았나 싶다 하지만 어림 없지대학교 월초부터 비대면수업 이런 상황도 금방 끝날줄 알았지긱사 들어가고 싶어도 대면수업 없으면 못들어감 근데 나는 수강신청 망해서대면수업 아예 없음 긱사 못들어가니까 동아리 들어간것 활동 못하고 다른과 애들도 못알고 동아리 활동 학기때도 코로나 때문에 못하고 아무튼 학기 대면수업 할줄 알았드마 어림도 없지  코로나 또 터지고 비대면 수업 대면수업 있던것도 죄다 비대면수업으로 전향이때 긱사 들어간기 했는데 비대면수업으로 아는 애들도 없고전에 있던 우리 대학교 톡방개인이 만든 톡방 그것 이미 톡방 반장이 관리자 권한안넘기고 나가서톡방 다른 사람들 못들어오고오픈톡방은 방장이 사람 임명 안하고 나가면다른 사람들 못들어옴애기 남겨도 죄다 말이 없고 하친해질려고 동아리 하는애들 몇몇 한테 연락 해도 대부분 읽십 안읽십 그냥 학교 관련해서 물어보기만 했는데이후 연락한 대부분 애들도 안읽십 읽십 학년 대면수업 하면 실습 하고 대면 할줄 알았지만어림도 없지 주 대면 하고 실습 할것도 안하고 망했음 실습 못하면 나중에 인턴 할때 지장이 크고 이번 코로나 때문에 대외 활동 학교 행사 못해서이미 스펙은 망한지 오래  비유 하자면 대기업 갈것 중소 기업 갈 수준으로 스펙 망했더라고하더라이미 대학교 졸업 한 사람들은 오티 엠티 즐겨놓고 별것 아니더라  하는데솔직히 아예 못즐겨본 우리 입장에서는 이런 말 굉장히 짜증남 그리고 초반에 톡방에서 애들이랑 미리 친해질것 친해지지 못해서 짜증나고코로나 때문에 정신병도 오고 머리카락 빠지고 살도 찌고 내 인생 살인데벌써 부터 이러면 답없다 
다들 이 거 봄 손님 뒷담화 까는 가게	종로 스키마에라고 함  제발 망하길 
너네 뚱뚱한 애들이랑 다니는 거 쪽 팔림	화장틴트 
사무실 웃음 참기  	 
지잡무시한 연대생의 최후	 
땡깡 관련 마복필 그 사람  어이없네	자기뜻대로 안흘러가니까 계폭하는게 너무 추함 트위터애들은 이때싶 까는애들 줠라 많을듯  
오늘자 포즈로 우주호 만든 우주호 	우주호 라는 이름에 맞춰서 우주호 만듬 교복 컨셉 넘 이쁘다  우주호 홧팅정우 민주 리노 엔시티 아이즈원 스트레이키즈 스키즈 엔시티 음중 우주호 
하얀 피부 개빡치는 단점	피부에 트러블이나 여드름 자국 블랙헤드 가리고싶어서 쿠션 찾아도 다 어두워서 개빡침  답답해지는 느낌이고 시중에서 호다 하는 것들도 다크닝 씹오지고 나도 유명하고 좋은 쿠션사고싶은데 색때문에 항상 마이너하고 졸라 퍽퍽한 파데만 사게됨 그런의미에서 하얀얘들아 너희 쿠션 뭐쓰니 건성 촉촉이 쿠션  좀  
마복필 태도 잘못된 거 아닌가	땡깡마복필 입장문 읽고왔음 근데마복필이 트위터에 필요이상으로 저격한글도 봄감정적으로 대처해서 팬들 선동한것도 문제 아닌가없는얘기까지 지어내는건 뭐임둘다 성인인데 대체가 왜그렇게 미성숙하지팬이었는데 이번 일보고 실망 많이했음 일부로 욕먹으라고 판깔아놓고 팬들 제지안한것도 그렇고물론 난 구취하면 끝이지만 한번 선동된 후엔 이미지는 바뀌기 어렵잖아여론몰이해놓고 나몰라라하는거 좀 실망스럽네 
눈치	 
뭔 사람을 악플러로 몰아가네	뭔가 오해가 있나본데 나 있지 좋아하고 그중에서도 류진 제일 좋아해서 갤러리에 류진 사진도 꽤 있는데 뭔 열폭이래 그냥 갤러리에 있는 사진들 보다 보니까 원숭이상 같아서 원숭이 같다고 한 건데 그리고 류진 보기싫다고 한 적 없어 
이 거 로 잘린 과거 맞아	몇살때야 스우파 스트릿우먼파이터 엠넷 홀리뱅 코카앤버터 원트 라치카  프라우드먼 훅 아이키 웨이비 이채연 노제 로잘린 시미즈 가비 모니카 리정 예리 리헤이 허니제이 보아블랙핑크 제니 로제 리사 트와 나연 쯔위 사나 다현 레벨 아이린 조이 예리 웬디 에스파 카리나 윈터 옴걸 아린 장원영 김민주 강혜원 방탄 뷔 지민 정국 엑소 백현 카이 엔시티 재현 정우 마크 태용
부산 무인 아이스크림 가게 절도 사건	 
방금 올라온 나 연 인스타	찢었다  월 일 트와이스 영어 싱글   많관부  
이 영지 인스타 스토리 미쳣나바	개눗김 
년생이 데뷔한 대	어제 피네이션이랑  남돌 멤버 결정났는데 년생도 있음우경준 세천준혁 세최태훈 세은휘 세오성준 세장현수 세고키 세이건 전체 풀샷 풀샷 추가 
아니 걸스 플래닛 얘 뭐 임	며칠전에 걸스플래닛 재방보다가 진짜 큐티졸귀탱 친구 발견함와약간 츄 처음봤을때 느낌 귀엽다뭐지 나 지금 직캠 계속 돌려보는중내가 걍 직캠 캡처한거라 좀 발캡이긴 한데 직캠이 훨씬귀여움 진심 데뷔해줘 제발  너무 귀여워그룹 키시다 리리카야직캠 링크 엥 보니까 톡선무슨일반대 뭔데그리고 이때다 싶어서 리리카랑 츄 까내리는 댓글들 몇개 있던데 당신들 인생이나 되돌아 보시길
혐주의 이 거  소름 돋아 	평소 초밥을 즐겨먹는 어느 중국인이 가려움이 심해져서 병원갔는데 온몸에 기생충이 가득한거임 오염된 초밥 먹어서 그렇다고
진짜 나 연 개인인스타 왜 안함	제발 좀 해주면 안됨대체 왜 안함 트와이스만아 같네 
오늘 방탄 남팬봄	오늘 어디 갈데가 생겨서 버스탔는데 앞에서 방탄 노래 소리가 들렸는데 누가 듣고 있나 싶어서 봤는데 앞쪽에 고등학생으로 보이는 남자가 에어팟 끼고 방탄 노래 듣고 있는거임에어팟 꼈는데도 소리가 세어나오더라고 어떻게 된 일인지는 모르겠지만 내가 버스에서 내릴 때 까지      이렇게 듣더라 그 다음에는 내가 버스에서 내려서 뭔 노래 들었는지는 모름이 남자 방탄 팬 맞을까
후기 아이가 바람난 제 아빠를 옹호해요	보름 전 썼던 글입니다아이가 이혼을 강렬히 거부해서 대화가 쉽지 않았지만그래도 조언대로 계속 대화를 시도했어요더 피하면 안 되겠단 생각으로요그새 많은 생각을 했나 보더라고요한때는 이혼하면 죽어버리겠다고까지 했지만 며칠 전에는 그러더군요엄마랑 너무 헤어지기 싫지만한명만 꼭 따라가야 한다면 아빠랑 살고 싶대요그 말에 가슴이 미어지더라고요저는 아이의 선택을 존중하지만 현실적인 부분을 말해주어서라도 만류하고 싶었어요아빠가 네게 좋은 아빠였고너를 정말 많이 사랑하시는건 맞아하지만 아빠에겐 또 다른 사랑하는 사람이 생겼고그 사람과 가정을 꾸린다거나 하실 가능성도 있어아빠는 네게 아니라고 하겠지만 아빠는 엄마한테도 그럴일 절대 없을거라 했던 적이 있단다나는 우리 가 그런 가정에서 자라면서 겪지 않아도 될 슬픈 경험을 안했으면 좋겠어엄마는 네가 엄마랑 산다고 하면 평생 너만 보면서 살아갈 거고 누굴 만나거나 재혼같은 것도 하지 않을거야아이는 새엄마가 생기는건 죽어도 싫대요끔찍하대요만약 그렇게 되면 아빠를 떠나서 엄마한테 가도 되겠냐고 하더라고요그래서 그렇게 하라고 했습니다남편은 걱정하는 일은 없을거라고아이를 끝까지 책임지겠다고 하네요그래서 그 상대와는 헤어졌냐고 물어보았습니다그랬더니 조만간 정리할거라고 하네요저는 그 상대든 또 다른 누군가든 연애든 재혼이든 할 생각이라면지체말고 아이를 바로 제게 보내라고 했습니다이렇게 마무리되었습니다코로나 때문에 멀리는 못가지만당분간 집을 떠나 잠시 머리를 비우고 올 생각이에요읽어주셔서 감사합니다
안유진 대형 마스크	스타쉽 안유진 코로나 확진 판정아이즈원 장원영 안유진 사쿠라 이채연 김민주 권은비 아이즈원 코로나
년생 아이돌이래	싸이 소속사 년생 아이돌 고키 
최수빈 키가 몇이냐 이거 보니까	엄청 커보임 옆에 있는 아린도 키 큰가 생각보다 작진 않은것같음 
추가 현실적으로 결혼 때 남자가 모은 돈	안녕하세요 여자친구와 얘기하다 여기까지 글을 쓰게 되었네요 저는 살이고 살부터 혼자 살았습니다나이도 있고 여자친구와 진지한 얘기를 하던 중에 서로 모은 돈에 대해 얘기를 하게 되었어요여자친구는 살부터 일을 하고 가정에 특별히 보탤 일이 없는 친구라 월급으로 용돈 적금을 해서 저보다는 많이 모은 상태구요저는 아무 도움 없이 혼자 무보증금 월세로 독립을 시작해 조금 힘들었어요 그리고 가족들과 관련해서 제가 갑자기 부담해야하는 돈들이 생겨 조금 모으려하면 그런 형편이 안되었습니다제가 여자친구한테 일반적으로 이 사회에서 남자들이 대학교 졸업 군대다녀오고하면 사회생활 시작이 비교적 늦는 경우가 많기때문에 모은 돈이 적을수밖에 없다고 이야기를 했어요저는 위 상황과는 좀 다르게 군대 다녀오고 살때부터 쉬지않고 돈을 벌고 일을했지만 여러가지 사건 안좋은 환경들로 모을 수가 없었고 저의 사정을 들으면 이해할수밖에 없는 상황이라 생각합니다결론적으로 인 지금 월세 보증금 천만원과 대출금 백만원정도 있는 상태에요월급은 예전 많을땐 백이상이었지만 최근엔 평균 백정도 차는 팔았습니다혼자 생활하는 생활비 월세도 만만치않네요평균 백이라해도 월세와 생활비 대출금 등 하면 남는돈이 백도 안됩니다주변에 보면 가정에서 평범하게 지낸 친구들은 저만큼 지출이 없으니 더 모았고 부모님이 결혼때 도와주시지않는한 그리 많진 않은거같더라구요 그렇다고 부모님을 원망하거나하진 않습니다생계 유지를 해야하기때문에 한번도 쉬지않고 계속 일을 해왔지만 이런 결과가 저도 씁쓸하고 힘드네요 더군다나 여자친구와 현실적인 얘기를 하다보니 더 많은 생각을 하게되었고 답답한마음에 글을 적어봅니다열심히 산다고 했는데제가 잘못 살아왔던걸까요저런상황 남자들은 현실적으로 모은돈이 적을수밖에 없지 않나요추가글 돈 어디에 썼냐고 하셔서 답변해봅니다처음 년 학자금 대출받아 대학다니다 감당할수가 없어 자퇴하였구요그뒤로 동생 대출로 돈빌려주었지만 못받아서 제가 갚았습니다 또 아버지 빚이 제 앞으로 떨어져 갚았구요이 빚들은 총 천 안되지만 아무것도 없던 저에게는 저 빚마저 대출받아 내고 돌려막아야하는 상황이였어요또 차 사고로 보험비 인가 냈어야 했구요가 없는 상황에서 감당해야할 돈들이 생기고 낼 수가 없으니 계속 돌려냈던거같아요 보증금 천만원도 대출받은건데 이제 다 끝났구요  동생과는 연락안하고살아 엮일일 없고 어머니 아버지 두분다 따로 사시지만 돈거래는 그 뒤로 없었습니다사실 없는 형편 맞지만 미친듯이 아끼면서 궁상맞게 살진 않았던거 같아요 가끔 놀러도 다니고일년에 두번정도 차도 저렴한거 풀할부로 샀다가 팔았구요 그래도 사치는 부리지않고 평범하게 제분수에 맞게 살았다생각해요먹고싶은거 먹고 필요한거있음 돈모으거나 할부로 가끔 구매하는정도에요 취미도 없어 특별히 돈드는것도 가끔 술먹는거 외엔 없구요투잡은 일 끝나는시간 여러 문제로 힘드네요이제 열심히모으려는데 식비 생활비 대출금과 이자를 내려니 쉽지않네요 요즘은 편의점 음식 먹으려합니다남자 혼자 사시는 분들 식비는 어떻게해결하세요저는 여친이 가끔 준비해주거나 대부분 시켜먹거든요혼자 뭘 해먹는게 더 돈이나가고 힘들어서요
나도 댄선데 나중에 스우파 나가게 되면	나도 꼭 좋아해줭 만약에 나가서 인터뷰 하면 모든 댄서들을 우리 님 이렇게 부를게그럼 나인 줄 알아 알겠징  춤짱 돼서 울 판녀들 앞에 당당히 설 수 있도록 열심히 연습할게 
스테이씨 땡깡나왔네	땡깡 집에서 선공개로 색안경 했는데 너무예뻐 스테이씨 월 일 컴백 많관부 
블랙 핑크 리사 생 얼	 
내 친구 판녀 같지 않음	저거 우리 야오치님 아니냐 
걸스 플래닛 이렇게 데뷔하면 좋겠다	걍 내 픽 내 취향 고른거라 안 어울려도 이해 최유진 김채현 안정민 귄마야 이혜원 서영은 강예서 션샤오팅 리이만 최유진김채현안정민귄마야이혜원서영은짤이 없강예서션샤오팅리이만움짤이 없어서 사진 
립제이 로 잘린 화해하자마자 꽁냥 오지넼	응 아니야 화해 하지마 
시부모님은 왜	국룰인가우리엄마는 아파도 자식이 걱정할까봐 꽁꽁 숨기다괜찮아지면 그때 말하거나 말하지 않는다생신때 뭘 사드리려고하면 한사코 거절해서용돈을 드리는데 용돈이 너무 많으면 돌려준다코로나때매 밖에 못나가니까집에서 음식을 시켜먹을려고 했는데엄마가 음식을 다 준비해서 음식값까지 용돈에 넣었는데 돌려줘버렸다곧 추석이라 돈쓸일 많을거라며아버님 생신이시다똑같이 코로나니까 음식을 사서 갔다회를 사서 갔는데 상이 좁았다곁들임 음식으로 나온 물만두를 내게 주며이거먹어라하셨다그후로 계속 맛있는건 아들만 주셨다있는 내내 어머니는 다리가 아프다 하셨다영양제는 뭐가 좋고 뭐가좋고다리가 너무아픈데 소고기를 먹으니 괜찮아지는것 같다고 한다용돈드리고 나오는데 고맙단 소리도 못들었다시부모님들은 어디서 다같이 배우고 오시는걸까국룰인가이외에도 오늘도 가슴후벼파는 이야기를 해서 역시나 자주 뵙고싶지 않은 분들이라 생각했다
착한 아이 증후군 나쁜 아이 증후군	 
친구 판녀 맞았음 	아 뭐라 답하지  개웃기네 
나 가슴 큰데 어 떡하냐	체육시간에 줄넘기하거든 수행평가임 근데 창착줄넘기 안무 짜는거라 애들앞에서 공개적으로 뛰는거거든 가슴이 내가봐도  충렁거리는데 어카냐 공학이야 죽고싶어 진짜 얼굴을 못들것 같아 남자애들 그거보고 이상한 생각 진짜 해 아무도 나한테 관심 안줬으면 좋겠어 아픈척 하고 빠질까 
아이들의 순수 	너무 귀엽 
걸스 플래닛 현 시각 가장 이상적인 데뷔조 픽	최유진 센터 서브보컬카와구치 유리나 서브보컬션샤오팅 메인댄서 서브래퍼보라 리더 메인보컬김혜림 리드보컬김채현 리드보컬서영은 메인래퍼 서브보컬강예서 리드댄서귄마야 서브래퍼 막내다 논란 없는 연생들임 
본진 닮은 캐릭터 짤털	쇼타로 처음봤을때부터 루 닮았다고생각 했는데 둘이 똑같이생겼어서치용방탄소년단 엑소 투바투 비투비 엔시티 세븐틴 몬스타엑스 아스트로 갓세븐 엔하이픈 펜타곤 빅톤 엔플라잉 데이식스 더보이즈 원어스  빅뱅 위너 아이콘 트레저 뉴이스트 트와이스 레드벨벳 블랙핑크 있지 오마이걸 러블리즈 우주소녀 이달소 에스파 스테이씨 마마무 여자친구 에이핑크 소녀시대 
대화하기 싫어지는 말투	 
아니 도대체 수빈 키 얼마나 큰 거야	스키즈도 작은키는 아닌걸로 아는데 스키즈가 못해도  넘는 워커 신고 단상위에 서 있는데도 수빈이랑 머리 위치가 똑같네 수빈 도대체 키 얼마나 큰거야 
스우파 여진 죄송한 거 맞죠랑 원래 아는 사이 넼	여진 케이데이원래 친한 사이엔 야 너 미안한거 마자 이런 농담 하잖아 근데 거기다 싸한 음악 깔고 그런 분위기 만든거  악마의 재능이다 어케했지 
와 아이린 개닮음	피드 내리다가 봤는데 진짜 개이쁘다 권은비 이 사진 유독 닮은거 같음  
스키즈 현진 티비에 좀 안 나오면 좋겠어	현진 얼굴 보면 학교에서 일진한테 이유없이 맞았던 기억 생각나 
얘들아 너네도 연애해	예전에 했던 연락 보고 있는데 지금이랑 변한 게 없너네도 좋은 사람 만날 것이야 왜냐면 너넨 좋은 사람이니깡결론은 행복한 연애해라 꼭 
가 이런 치마입는 거 에 바임	예뻐보여서 작년에 산거임 
스우파 출연진들 닮은꼴	립제이포카혼타스모니카쌤웬트워스노제서우앱스 주연시미즈유튜버 덕자효진초이이혜영예리자리야피넛주토피아 나무늘보안쏘매운맛이채연순한맛비키배우 이주영제트썬 
아이돌 음원 일간 최고 순위월 컴백	일 아스트로  위       전소미 위 일 선미 위 일  더보이즈 위        온앤오프 위        효연 위일  해찬 도영 위일 레드벨벳 위일 투모로우바이투게더 위일 스트레이키즈 위          권은비 위브레이브걸스 위일 비투비 위 키 태연위 정리 탑 안에 든 아이돌여돌  전소미   레드벨벳  선미       브레이브걸스 술버릇남돌  비투비   키  추가노래 다 좋지만 탑백에 든 노래들은 진짜 좋긴 좋더라개인적으로 비투비 키 노래가 진짜 좋았음팬 아님컴백데뷔했으나 위 안에 안드는것은 안적음답글보고 찾아봤는데 최고순위 대부분 차트 개편 이후임 별상관 없을듯전소미도 최고순위 일임그래 톡선 올라왔는데 시비충이 없으면 재미없지옛다 비투비 온도도 보여주랴 노래는 다 유튭으로 들음
조이한테 젤 잘 어울리는 헤어	내기준 흑발에 웨이브 살짝 넣은거 진짜 젤 예쁨 레드벨벳 레벨 조이
시어머니가 며느리에게 한 말	여느때와 다를 것 없이 늘상 시댁에선며느리인 내가 설거지를 하고설거지하는 내 뒤에서 하시는 어머님 말씀남편이 하는 말은 무조건 따라야한다절대 거절하면 안된다여자는 한달에 한번 생리를 하면서 내보내지만남자들은 그렇지 않다무조건 내보내줘야한다여기서부터 무슨말씀을 하시는건지진짜 내 두귀를 의심함이것은 생명과도 직결된 문제이다그러니 절대 거절하지말아라어머님고운 따님까지 있으신 분이어떻게 며느리라고 저런말씀을 하시는지몇날 몇일을 마음에 두고두고시댁갈때마다 심장이 벌렁벌렁한다요즘 이 시대에도시어머니라는 사람이 며느리에게저런말 하시는 분이 있나요아무리 조선시대라하더라도 저런말을 상대에게내뱉는 사람은 도대체 어떤 인물인가요 
서울 자가 있으니 자기 수 발들라는 남친	연애 년한 커플입니다저는 일단 결혼에 대해서 좋게 생각 안해요저 한몸 구사하기도 힘든 세상인데더 힘든 상황으로 절 몰아넣기 싫거든요결혼도 여유가 있어야 할 수 있는거라 생각해요저는  남친은 인데 부쩍 요즘 들어결혼 이야기를 하며 저를 깎아내립니다남친은 결혼하면 부모님께 서울에 있는 아파트를증여받기로 되어 있어요 딱 듣기만 해도 저도되게 부럽더라구요 그래서 와 좋겠다 서울 자가라니이러면서 부러워했더니 왜 남일처럼 말하냐며 화를 내고요그 말에 자기한테 더 잘 보여야 할 생각은 안하고 왜 그러냐면서 자기한테 애교도 잘 떨고 자기 수발을잘 들으래요 요리도 배우고 신부수업 하라면서 그래서 너가 몸이 불편한 것도 아닌데뭔 수발이냐 난 결혼 생각 별로 없다고 말하지 않았냐 하니너처럼 나이도 많고 집도 없고 그런 여자는 데려갈 사람이 없다면서 자기한테 잘하라고아니 누가 데려가달라고 했나 결혼얘기 계속하는건남친이거든요 저는 월급을 많이 받지도 않고그냥저냥 저 혼자 살고 있긴 하지만 서울 아파트 때문에마음에도 없는 결혼 하기도 싫고 남친한테 지금부터저렇게 까내림 당하기도 싫어요꼴도 보기 싫어서 볼거 없으면 데려가지 말라고누가 데려가달라고 했냐고 애초에 그냥 사귀지도 말자고하고 안만난지 주짼데 자꾸 연락오고 미안하다자기가 생각이 짧았다 하네요 징글징글깔끔하게 잘 떼어내는 법 좀 알려주세요 
직장인	 
대박난  제품	대 완판  대 예약이 밀려있다고 함 
나만 에이프릴 잘못 걸린 것 같냐	유튜브에서 에이프릴 영상 몇개 봤는데 뒷광고랑 폭로글 거짓말이랑 리허설 빠지고 걍 현주 잘못 밖에 안보임 에이프릴은 하나하나 반박했잖음
로또 등 당첨된 아저씨의 최후	 
